order_item_id,order_id,product_id,quantity,price
OI000128,O000063,P044,2,950
OI000129,O000064,P009,1,761
OI000130,O000065,P039,2,750
OI000131,O000065,P027,1,790
OI000132,O000065,P027,1,790
OI000133,O000066,P052,1,769
OI000134,O000067,P009,1,761
OI000135,O000067,P035,1,978
OI000136,O000067,P033,1,1026
OI000137,O000068,P024,1,768
OI000138,O000069,P055,1,861
OI000139,O000069,P019,2,1100
OI000140,O000070,P057,1,802
OI000141,O000070,P022,1,1697
OI000142,O000070,P030,2,794
OI000143,O000071,P060,2,769
OI000144,O000071,P058,1,951
OI000145,O000071,P044,1,950
OI000146,O000072,P036,2,1690
OI000147,O000072,P056,1,1093
OI000148,O000073,P003,1,947
OI000149,O000074,P042,1,1718
OI000150,O000074,P059,2,1750
OI000151,O000074,P013,2,1716
OI000152,O000075,P028,1,1764
OI000153,O000075,P035,2,978
OI000154,O000076,P004,1,860
OI000155,O000076,P027,2,790
OI000156,O000077,P031,2,980
OI000157,O000077,P028,2,1764
OI000158,O000078,P014,1,1779
OI000159,O000078,P025,1,879
OI000160,O000078,P052,2,769
OI000161,O000079,P001,2,1841
OI000162,O000079,P004,1,860
OI000163,O000080,P060,1,769
OI000164,O000080,P030,1,794
OI000165,O000080,P045,2,731
OI000166,O000081,P020,1,1794
OI000167,O000081,P050,2,1746
OI000168,O000081,P035,2,978
OI000169,O000082,P036,2,1690
OI000170,O000083,P060,2,769
OI000171,O000083,P055,1,861
OI000172,O000083,P046,1,1441
OI000173,O000084,P037,2,1213
OI000174,O000084,P001,2,1841
OI000175,O000085,P046,2,1441
OI000176,O000085,P049,1,1416
OI000177,O000086,P001,2,1841
OI000178,O000086,P016,1,1807
OI000179,O000087,P020,2,1794
OI000180,O000087,P017,2,1908
OI000181,O000088,P054,2,1979
OI000182,O000088,P003,2,947
OI000183,O000088,P037,1,1213
OI000184,O000089,P035,1,978
OI000185,O000089,P059,1,1750
OI000186,O000089,P041,1,1251
OI000187,O000090,P027,2,790
OI000188,O000090,P005,1,1101
OI000189,O000091,P059,1,1750
OI000190,O000091,P049,1,1416
OI000191,O000092,P052,1,769
OI000192,O000092,P002,2,822
OI000193,O000092,P058,1,951
OI000194,O000093,P027,2,790
OI000195,O000093,P009,1,761
OI000196,O000093,P049,1,1416
OI000197,O000094,P012,2,715
OI000198,O000095,P018,2,764
OI000199,O000095,P028,1,1764
OI000200,O000096,P024,2,768
OI000201,O000096,P022,1,1697
OI000202,O000096,P055,1,861
OI000203,O000097,P009,1,761
OI000204,O000098,P060,1,769
OI000205,O000098,P031,1,980
OI000206,O000099,P059,1,1750
OI000207,O000099,P039,1,750
OI000208,O000100,P022,2,1697
OI000209,O000100,P021,1,1585
OI000210,O000101,P004,1,860
OI000211,O000101,P029,2,746
OI000212,O000101,P035,2,978
OI000213,O000102,P046,1,1441
OI000214,O000102,P058,2,951
OI000215,O000103,P057,2,802
OI000216,O000103,P034,1,1686
OI000217,O000103,P057,1,802
OI000218,O000104,P048,2,1658
OI000219,O000105,P025,1,879
OI000220,O000106,P044,1,950
OI000221,O000106,P006,1,1396
OI000222,O000107,P057,1,802
OI000223,O000107,P012,1,715
OI000224,O000108,P009,2,761
OI000225,O000109,P054,1,1979
OI000226,O000110,P044,2,950
OI000227,O000111,P060,2,769
OI000228,O000111,P020,1,1794
OI000229,O000111,P052,1,769
OI000230,O000112,P017,1,1908
OI000231,O000112,P060,2,769
OI000232,O000113,P048,2,1658
OI000233,O000114,P011,2,1752
OI000234,O000115,P043,2,1355
OI000235,O000115,P031,1,980
OI000236,O000115,P017,1,1908
OI000237,O000116,P031,1,980
OI000238,O000116,P007,1,1282
OI000239,O000116,P013,2,1716
OI000240,O000117,P057,2,802
OI000241,O000118,P024,2,768
OI000242,O000118,P052,2,769
OI000243,O000118,P045,1,731
OI000244,O000119,P036,2,1690
OI000245,O000119,P042,1,1718
OI000246,O000120,P048,2,1658
OI000247,O000120,P023,2,1589
OI000248,O000120,P012,2,715
OI000249,O000121,P008,1,856
OI000250,O000121,P026,2,887
OI000251,O000121,P001,1,1841
OI000252,O000122,P006,1,1396
OI000253,O000122,P058,1,951
OI000254,O000123,P037,1,1213
OI000255,O000123,P016,1,1807
OI000256,O000123,P055,1,861
OI000257,O000124,P040,2,1088
OI000258,O000124,P060,1,769
OI000259,O000124,P012,2,715
OI000260,O000125,P022,2,1697
OI000261,O000125,P010,2,1949
OI000262,O000125,P044,2,950
OI000263,O000126,P060,1,769
OI000264,O000126,P032,2,1487
OI000265,O000126,P035,2,978
OI000266,O000127,P001,2,1841
OI000267,O000127,P054,1,1979
OI000268,O000127,P044,1,950
OI000269,O000128,P039,2,750
OI000270,O000128,P021,2,1585
OI000271,O000129,P021,2,1585
OI000272,O000129,P003,2,947
OI000273,O000130,P039,1,750
OI000274,O000130,P042,1,1718
OI000275,O000130,P020,1,1794
OI000276,O000131,P026,2,887
OI000277,O000132,P022,2,1697
OI000278,O000132,P033,1,1026
OI000279,O000133,P012,2,715
OI000280,O000133,P037,2,1213
OI000281,O000133,P051,1,1123
OI000282,O000134,P030,1,794
OI000283,O000135,P060,2,769
OI000284,O000136,P032,2,1487
OI000285,O000137,P051,1,1123
OI000286,O000138,P035,1,978
OI000287,O000139,P045,2,731
OI000288,O000139,P057,2,802
OI000289,O000140,P007,1,1282
OI000290,O000140,P043,1,1355
OI000291,O000141,P035,2,978
OI000292,O000141,P040,2,1088
OI000293,O000141,P057,1,802
OI000294,O000142,P012,2,715
OI000295,O000143,P052,2,769
OI000296,O000143,P044,1,950
OI000297,O000144,P010,1,1949
OI000298,O000144,P001,1,1841
OI000299,O000144,P021,1,1585
OI000300,O000145,P010,1,1949
OI000301,O000145,P058,1,951
OI000302,O000146,P015,2,749
OI000303,O000147,P012,1,715
OI000304,O000147,P059,2,1750
OI000305,O000147,P017,1,1908
OI000306,O000148,P055,1,861
OI000307,O000148,P009,2,761
OI000308,O000148,P042,1,1718
OI000309,O000149,P056,2,1093
OI000310,O000149,P049,2,1416
OI000311,O000149,P006,2,1396
OI000312,O000150,P008,1,856
OI000313,O000151,P060,2,769
OI000314,O000152,P037,2,1213
OI000315,O000152,P052,1,769
OI000316,O000152,P006,1,1396
OI000317,O000153,P050,1,1746
OI000318,O000154,P050,2,1746
OI000319,O000154,P004,1,860
OI000320,O000155,P011,1,1752
OI000321,O000155,P035,2,978
OI000322,O000155,P042,2,1718
OI000323,O000156,P051,2,1123
OI000324,O000156,P043,2,1355
OI000325,O000157,P012,2,715
OI000326,O000157,P060,2,769
OI000327,O000157,P009,2,761
OI000328,O000158,P002,1,822
OI000329,O000159,P011,1,1752
OI000330,O000160,P017,1,1908
OI000331,O000160,P053,1,1572
OI000332,O000161,P019,2,1100
OI000333,O000162,P056,1,1093
OI000334,O000163,P010,1,1949
OI000335,O000164,P005,1,1101
OI000336,O000164,P002,2,822
OI000337,O000164,P057,1,802
OI000338,O000165,P002,1,822
OI000339,O000166,P040,1,1088
OI000340,O000166,P037,1,1213
OI000341,O000166,P019,1,1100
OI000342,O000167,P007,2,1282
OI000343,O000167,P025,2,879
OI000344,O000168,P011,1,1752
OI000345,O000169,P011,1,1752
OI000346,O000169,P060,2,769
OI000347,O000170,P014,2,1779
OI000348,O000170,P034,1,1686
OI000349,O000171,P025,2,879
OI000350,O000172,P030,1,794
OI000351,O000172,P036,2,1690
OI000352,O000172,P037,1,1213
OI000353,O000173,P037,1,1213
OI000354,O000173,P003,2,947
OI000355,O000174,P032,2,1487
OI000356,O000174,P014,2,1779
OI000357,O000174,P059,2,1750
OI000358,O000175,P008,2,856
OI000359,O000175,P010,1,1949
OI000360,O000175,P044,1,950
OI000361,O000176,P011,2,1752
OI000362,O000176,P023,1,1589
OI000363,O000177,P015,2,749
OI000364,O000177,P013,1,1716
OI000365,O000178,P058,1,951
OI000366,O000179,P030,1,794
OI000367,O000180,P004,1,860
OI000368,O000181,P057,1,802
OI000369,O000181,P050,1,1746
OI000370,O000182,P038,2,1466
OI000371,O000182,P003,2,947
OI000372,O000182,P053,2,1572
OI000373,O000183,P050,1,1746
OI000374,O000183,P041,2,1251
OI000375,O000184,P047,2,1165
OI000376,O000184,P016,2,1807
OI000377,O000184,P025,2,879
OI000378,O000185,P025,1,879
OI000379,O000185,P026,1,887
OI000380,O000185,P018,1,764
OI000381,O000186,P047,2,1165
OI000382,O000187,P034,1,1686
OI000383,O000187,P022,2,1697
OI000384,O000187,P039,2,750
OI000385,O000188,P045,1,731
OI000386,O000188,P016,1,1807
OI000387,O000188,P059,1,1750
OI000388,O000189,P055,2,861
OI000389,O000189,P035,2,978
OI000390,O000189,P054,2,1979
OI000391,O000190,P005,2,1101
OI000392,O000191,P048,2,1658
OI000393,O000191,P051,1,1123
OI000394,O000192,P004,2,860
OI000395,O000192,P051,1,1123
OI000396,O000193,P037,2,1213
OI000397,O000193,P035,1,978
OI000398,O000194,P037,1,1213
OI000399,O000195,P008,1,856
OI000400,O000195,P016,1,1807
OI000401,O000195,P058,2,951
OI000402,O000196,P042,1,1718
OI000403,O000196,P037,1,1213
OI000404,O000196,P033,2,1026
OI000405,O000197,P058,2,951
OI000406,O000198,P021,2,1585
OI000407,O000198,P032,1,1487
OI000408,O000198,P049,2,1416
OI000409,O000199,P020,1,1794
OI000410,O000200,P055,2,861
OI000411,O000200,P032,2,1487
OI000412,O000200,P024,2,768
OI000413,O000201,P006,2,1396
OI000414,O000202,P005,1,1101
OI000415,O000203,P032,2,1487
OI000416,O000204,P033,2,1026
OI000417,O000204,P053,1,1572
OI000418,O000205,P026,1,887
OI000419,O000205,P018,2,764
OI000420,O000205,P016,2,1807
OI000421,O000206,P058,1,951
OI000422,O000207,P002,2,822
OI000423,O000207,P022,1,1697
OI000424,O000207,P013,1,1716
OI000425,O000208,P031,2,980
OI000426,O000208,P010,2,1949
OI000427,O000209,P030,2,794
OI000428,O000209,P016,2,1807
OI000429,O000210,P047,2,1165
OI000430,O000210,P056,2,1093
OI000431,O000210,P045,1,731
OI000432,O000211,P051,2,1123
OI000433,O000211,P026,2,887
OI000434,O000212,P026,2,887
OI000435,O000213,P048,1,1658
OI000436,O000213,P027,1,790
OI000437,O000213,P055,2,861
OI000438,O000214,P021,2,1585
OI000439,O000214,P023,2,1589
OI000440,O000214,P019,2,1100
OI000441,O000215,P035,1,978
OI000442,O000215,P012,1,715
OI000443,O000216,P011,1,1752
OI000444,O000216,P033,1,1026
OI000445,O000216,P013,1,1716
OI000446,O000217,P017,1,1908
OI000447,O000217,P031,1,980
OI000448,O000218,P027,1,790
OI000449,O000219,P016,1,1807
OI000450,O000220,P015,1,749
OI000451,O000221,P033,2,1026
OI000452,O000221,P020,2,1794
OI000453,O000222,P037,2,1213
OI000454,O000222,P033,2,1026
OI000455,O000222,P051,1,1123
OI000456,O000223,P039,1,750
OI000457,O000224,P043,1,1355
OI000458,O000224,P036,2,1690
OI000459,O000224,P023,2,1589
OI000460,O000225,P049,1,1416
OI000461,O000226,P034,2,1686
OI000462,O000226,P057,1,802
OI000463,O000227,P011,1,1752
OI000464,O000227,P014,2,1779
OI000465,O000228,P020,2,1794
OI000466,O000228,P013,2,1716
OI000467,O000228,P035,1,978
OI000468,O000229,P055,1,861
OI000469,O000229,P025,2,879
OI000470,O000230,P005,2,1101
OI000471,O000230,P023,2,1589
OI000472,O000230,P032,1,1487
OI000473,O000231,P047,2,1165
OI000474,O000231,P021,2,1585
OI000475,O000231,P033,2,1026
OI000476,O000232,P020,1,1794
OI000477,O000233,P029,2,746
OI000478,O000233,P032,1,1487
OI000479,O000234,P026,1,887
OI000480,O000235,P034,2,1686
OI000481,O000235,P044,1,950
OI000482,O000236,P046,1,1441
OI000483,O000237,P007,1,1282
OI000484,O000238,P015,1,749
OI000485,O000239,P012,2,715
OI000486,O000240,P043,1,1355
OI000487,O000240,P037,2,1213
OI000488,O000240,P009,1,761
OI000489,O000241,P049,2,1416
OI000490,O000241,P037,2,1213
OI000491,O000241,P003,2,947
OI000492,O000242,P049,2,1416
OI000493,O000242,P021,2,1585
OI000494,O000242,P058,1,951
OI000495,O000243,P012,2,715
OI000496,O000244,P060,2,769
OI000497,O000244,P054,1,1979
OI000498,O000244,P041,1,1251
OI000499,O000245,P001,2,1841
OI000500,O000246,P037,1,1213
OI000501,O000246,P007,1,1282
OI000502,O000246,P007,1,1282
OI000503,O000247,P024,1,768
OI000504,O000247,P052,2,769
OI000505,O000248,P014,2,1779
OI000506,O000249,P040,1,1088
OI000507,O000250,P015,2,749
OI000508,O000250,P020,1,1794
OI000509,O000250,P003,1,947
OI000510,O000251,P039,2,750
OI000511,O000252,P004,2,860
OI000512,O000252,P018,1,764
OI000513,O000252,P036,2,1690
OI000514,O000253,P055,1,861
OI000515,O000253,P016,1,1807
OI000516,O000253,P004,1,860
OI000517,O000254,P008,1,856
OI000518,O000255,P029,2,746
OI000519,O000256,P014,2,1779
OI000520,O000256,P042,1,1718
OI000521,O000256,P012,1,715
OI000522,O000257,P049,1,1416
OI000523,O000258,P055,2,861
OI000524,O000259,P051,2,1123
OI000525,O000260,P034,1,1686
OI000526,O000260,P037,1,1213
OI000527,O000260,P047,2,1165
OI000528,O000261,P010,2,1949
OI000529,O000261,P054,2,1979
OI000530,O000262,P001,2,1841
OI000531,O000263,P046,2,1441
OI000532,O000263,P031,2,980
OI000533,O000264,P019,2,1100
OI000534,O000265,P025,1,879
OI000535,O000265,P017,1,1908
OI000536,O000265,P032,1,1487
OI000537,O000266,P032,1,1487
OI000538,O000267,P012,1,715
OI000539,O000268,P043,1,1355
OI000540,O000269,P032,1,1487
OI000541,O000269,P011,1,1752
OI000542,O000269,P024,1,768
OI000543,O000270,P019,2,1100
OI000544,O000270,P035,2,978
OI000545,O000270,P025,2,879
OI000546,O000271,P021,1,1585
OI000547,O000271,P057,2,802
OI000548,O000271,P051,1,1123
OI000549,O000272,P016,2,1807
OI000550,O000272,P043,1,1355
OI000551,O000273,P024,2,768
OI000552,O000274,P039,1,750
OI000553,O000274,P021,2,1585
OI000554,O000274,P003,2,947
OI000555,O000275,P012,2,715
OI000556,O000275,P043,1,1355
OI000557,O000275,P002,2,822
OI000558,O000276,P044,1,950
OI000559,O000276,P039,2,750
OI000560,O000276,P019,2,1100
OI000561,O000277,P019,1,1100
OI000562,O000277,P035,1,978
OI000563,O000277,P041,2,1251
OI000564,O000278,P005,2,1101
OI000565,O000279,P006,2,1396
OI000566,O000279,P021,1,1585
OI000567,O000279,P014,1,1779
OI000568,O000280,P037,2,1213
OI000569,O000280,P020,2,1794
OI000570,O000281,P042,1,1718
OI000571,O000281,P053,2,1572
OI000572,O000282,P053,2,1572
OI000573,O000283,P028,1,1764
OI000574,O000283,P035,1,978
OI000575,O000283,P002,2,822
OI000576,O000284,P042,2,1718
OI000577,O000285,P016,1,1807
OI000578,O000286,P042,2,1718
OI000579,O000286,P024,1,768
OI000580,O000287,P052,2,769
OI000581,O000287,P012,2,715
OI000582,O000287,P020,1,1794
OI000583,O000288,P018,2,764
OI000584,O000288,P016,1,1807
OI000585,O000289,P054,2,1979
OI000586,O000289,P023,2,1589
OI000587,O000290,P033,2,1026
OI000588,O000290,P008,1,856
OI000589,O000291,P009,2,761
OI000590,O000291,P047,1,1165
OI000591,O000291,P041,1,1251
OI000592,O000292,P055,2,861
OI000593,O000292,P034,1,1686
OI000594,O000292,P015,2,749
OI000595,O000293,P030,1,794
OI000596,O000294,P035,2,978
OI000597,O000294,P017,2,1908
OI000598,O000295,P005,2,1101
OI000599,O000296,P051,1,1123
OI000600,O000296,P019,2,1100
OI000601,O000296,P037,1,1213
OI000602,O000297,P012,2,715
OI000603,O000297,P045,1,731
OI000604,O000298,P059,2,1750
OI000605,O000299,P013,2,1716
OI000606,O000299,P019,1,1100
OI000607,O000299,P004,2,860
OI000608,O000300,P053,2,1572
OI000609,O000300,P047,2,1165
OI000610,O000300,P022,1,1697
OI000611,O000301,P013,1,1716
OI000612,O000301,P031,2,980
OI000613,O000302,P043,2,1355
OI000614,O000302,P044,1,950
OI000615,O000303,P059,1,1750
OI000616,O000304,P012,1,715
OI000617,O000304,P018,2,764
OI000618,O000304,P056,1,1093
OI000619,O000305,P052,2,769
OI000620,O000305,P018,1,764
OI000621,O000306,P030,1,794
OI000622,O000307,P021,1,1585
OI000623,O000307,P018,2,764
OI000624,O000307,P040,2,1088
OI000625,O000308,P026,2,887
OI000626,O000308,P038,2,1466
OI000627,O000308,P027,1,790
OI000628,O000309,P051,2,1123
OI000629,O000310,P015,1,749
OI000630,O000310,P010,1,1949
OI000631,O000310,P004,1,860
OI000632,O000311,P030,2,794
OI000633,O000311,P027,1,790
OI000634,O000312,P052,1,769
OI000635,O000312,P050,2,1746
OI000636,O000313,P039,1,750
OI000637,O000314,P025,2,879
OI000638,O000314,P033,1,1026
OI000639,O000314,P038,1,1466
OI000640,O000315,P052,2,769
OI000641,O000315,P056,2,1093
OI000642,O000316,P031,1,980
OI000643,O000316,P007,1,1282
OI000644,O000316,P036,2,1690
OI000645,O000317,P011,1,1752
OI000646,O000317,P032,1,1487
OI000647,O000318,P056,1,1093
OI000648,O000319,P043,2,1355
OI000649,O000319,P056,2,1093
OI000650,O000320,P012,1,715
OI000651,O000320,P007,1,1282
OI000652,O000321,P008,1,856
OI000653,O000321,P043,1,1355
OI000654,O000321,P024,1,768
OI000655,O000322,P005,2,1101
OI000656,O000323,P010,2,1949
OI000657,O000323,P007,2,1282
OI000658,O000324,P039,1,750
OI000659,O000325,P043,2,1355
OI000660,O000325,P010,2,1949
OI000661,O000326,P041,2,1251
OI000662,O000327,P031,1,980
OI000663,O000327,P055,1,861
OI000664,O000328,P011,1,1752
OI000665,O000328,P049,1,1416
OI000666,O000329,P040,2,1088
OI000667,O000329,P016,1,1807
OI000668,O000330,P019,1,1100
OI000669,O000331,P023,2,1589
OI000670,O000332,P058,2,951
OI000671,O000332,P056,2,1093
OI000672,O000332,P040,2,1088
OI000673,O000333,P051,1,1123
OI000674,O000333,P057,1,802
OI000675,O000334,P008,2,856
OI000676,O000334,P036,1,1690
OI000677,O000335,P003,2,947
OI000678,O000335,P023,2,1589
OI000679,O000336,P024,1,768
OI000680,O000336,P041,1,1251
OI000681,O000337,P015,2,749
OI000682,O000338,P037,1,1213
OI000683,O000339,P025,1,879
OI000684,O000339,P025,1,879
OI000685,O000340,P037,2,1213
OI000686,O000340,P040,1,1088
OI000687,O000340,P011,1,1752
OI000688,O000341,P043,2,1355
OI000689,O000342,P011,1,1752
OI000690,O000342,P018,2,764
OI000691,O000343,P027,1,790
OI000692,O000344,P016,1,1807
OI000693,O000344,P015,1,749
OI000694,O000344,P024,1,768
OI000695,O000345,P050,2,1746
OI000696,O000345,P048,1,1658
OI000697,O000346,P045,2,731
OI000698,O000346,P054,2,1979
OI000699,O000347,P026,2,887
OI000700,O000348,P027,1,790
OI000701,O000349,P029,2,746
OI000702,O000350,P021,1,1585
OI000703,O000351,P036,2,1690
OI000704,O000352,P020,1,1794
OI000705,O000353,P020,2,1794
OI000706,O000353,P054,2,1979
OI000707,O000354,P030,1,794
OI000708,O000355,P010,2,1949
OI000709,O000356,P059,1,1750
OI000710,O000357,P010,2,1949
OI000711,O000358,P040,1,1088
OI000712,O000359,P027,1,790
OI000713,O000359,P014,1,1779
OI000714,O000359,P033,2,1026
OI000715,O000360,P036,1,1690
OI000716,O000360,P006,1,1396
OI000717,O000361,P007,1,1282
OI000718,O000361,P044,1,950
OI000719,O000361,P023,2,1589
OI000720,O000362,P009,1,761
OI000721,O000362,P023,2,1589
OI000722,O000363,P023,1,1589
OI000723,O000363,P039,2,750
OI000724,O000363,P023,1,1589
OI000725,O000364,P007,2,1282
OI000726,O000364,P044,1,950
OI000727,O000365,P055,2,861
OI000728,O000365,P026,1,887
OI000729,O000365,P057,1,802
OI000730,O000366,P028,2,1764
OI000731,O000367,P023,1,1589
OI000732,O000367,P059,1,1750
OI000733,O000367,P021,1,1585
OI000734,O000368,P056,1,1093
OI000735,O000368,P031,1,980
OI000736,O000369,P043,1,1355
OI000737,O000370,P043,1,1355
OI000738,O000371,P058,1,951
OI000739,O000372,P034,1,1686
OI000740,O000372,P028,1,1764
OI000741,O000372,P043,1,1355
OI000742,O000373,P047,2,1165
OI000743,O000374,P012,2,715
OI000744,O000374,P048,1,1658
OI000745,O000375,P005,1,1101
OI000746,O000376,P003,1,947
OI000747,O000377,P050,1,1746
OI000748,O000378,P040,1,1088
OI000749,O000378,P031,2,980
OI000750,O000378,P007,2,1282
OI000751,O000379,P037,2,1213
OI000752,O000380,P056,2,1093
OI000753,O000380,P006,1,1396
OI000754,O000380,P016,1,1807
OI000755,O000381,P030,1,794
OI000756,O000381,P051,2,1123
OI000757,O000382,P023,1,1589
OI000758,O000382,P046,1,1441
OI000759,O000382,P046,2,1441
OI000760,O000383,P059,2,1750
OI000761,O000383,P056,2,1093
OI000762,O000384,P018,1,764
OI000763,O000385,P005,2,1101
OI000764,O000385,P040,1,1088
OI000765,O000385,P053,1,1572
OI000766,O000386,P033,2,1026
OI000767,O000387,P040,1,1088
OI000768,O000387,P053,1,1572
OI000769,O000387,P009,1,761
OI000770,O000388,P021,1,1585
OI000771,O000389,P044,2,950
OI000772,O000389,P027,2,790
OI000773,O000389,P023,1,1589
OI000774,O000390,P029,2,746
OI000775,O000390,P059,1,1750
OI000776,O000391,P052,2,769
OI000777,O000391,P057,1,802
OI000778,O000392,P041,1,1251
OI000779,O000393,P028,2,1764
OI000780,O000393,P010,1,1949
OI000781,O000394,P017,1,1908
OI000782,O000394,P042,1,1718
OI000783,O000394,P044,2,950
OI000784,O000395,P005,2,1101
OI000785,O000395,P034,1,1686
OI000786,O000395,P042,1,1718
OI000787,O000396,P007,2,1282
OI000788,O000397,P053,1,1572
OI000789,O000398,P004,2,860
OI000790,O000398,P041,1,1251
OI000791,O000398,P015,2,749
OI000792,O000399,P046,1,1441
OI000793,O000399,P048,2,1658
OI000794,O000400,P046,2,1441
OI000795,O000400,P035,1,978
OI000796,O000401,P029,1,746
OI000797,O000401,P008,2,856
OI000798,O000401,P030,1,794
OI000799,O000402,P030,1,794
OI000800,O000402,P007,1,1282
OI000801,O000403,P027,1,790
OI000802,O000403,P003,1,947
OI000803,O000404,P002,2,822
OI000804,O000404,P051,1,1123
OI000805,O000404,P012,2,715
OI000806,O000405,P021,2,1585
OI000807,O000405,P059,2,1750
OI000808,O000405,P054,2,1979
OI000809,O000406,P004,1,860
OI000810,O000406,P058,1,951
OI000811,O000407,P023,1,1589
OI000812,O000407,P026,2,887
OI000813,O000408,P009,2,761
OI000814,O000409,P059,1,1750
OI000815,O000410,P029,1,746
OI000816,O000410,P027,1,790
OI000817,O000411,P006,2,1396
OI000818,O000411,P012,1,715
OI000819,O000411,P044,2,950
OI000820,O000412,P048,1,1658
OI000821,O000412,P031,2,980
OI000822,O000412,P060,2,769
OI000823,O000413,P023,1,1589
OI000824,O000413,P009,2,761
OI000825,O000413,P025,2,879
OI000826,O000414,P002,1,822
OI000827,O000414,P049,2,1416
OI000828,O000415,P036,1,1690
OI000829,O000416,P010,1,1949
OI000830,O000416,P041,1,1251
OI000831,O000417,P043,2,1355
OI000832,O000418,P045,2,731
OI000833,O000418,P058,1,951
OI000834,O000418,P024,2,768
OI000835,O000419,P018,1,764
OI000836,O000419,P004,2,860
OI000837,O000419,P010,1,1949
OI000838,O000420,P035,1,978
OI000839,O000420,P039,1,750
OI000840,O000420,P056,2,1093
OI000841,O000421,P023,2,1589
OI000842,O000421,P043,2,1355
